timestamp,application_id,correlation_id,query_category,duration_ms,rows_examined,slow_query
2025-05-01T09:00:01.100000Z,cap-app-0001,cap-corr-0001,application_state,43,1,false
2025-05-01T09:00:00.500000Z,cap-app-0001,cap-corr-0001-s,help_search,76,351,false
2025-05-01T09:17:01.100000Z,cap-app-0002,cap-corr-0002,application_state,44,1,false
2025-05-01T09:17:00.500000Z,cap-app-0002,cap-corr-0002-s,help_search,77,352,false
2025-05-01T09:34:01.100000Z,cap-app-0003,cap-corr-0003,application_state,45,1,false
2025-05-01T09:34:00.500000Z,cap-app-0003,cap-corr-0003-s,help_search,78,353,false
2025-05-01T09:51:01.100000Z,cap-app-0004,cap-corr-0004,application_state,46,1,false
2025-05-01T09:51:00.500000Z,cap-app-0004,cap-corr-0004-s,help_search,79,354,false
2025-05-01T10:08:01.100000Z,cap-app-0005,cap-corr-0005,application_state,47,1,false
2025-05-01T10:08:00.500000Z,cap-app-0005,cap-corr-0005-s,help_search,80,355,false
2025-05-01T10:25:01.100000Z,cap-app-0006,cap-corr-0006,application_state,48,1,false
2025-05-01T10:25:00.500000Z,cap-app-0006,cap-corr-0006-s,help_search,81,356,false
2025-05-01T10:42:01.100000Z,cap-app-0007,cap-corr-0007,application_state,49,1,false
2025-05-01T10:42:00.500000Z,cap-app-0007,cap-corr-0007-s,help_search,82,357,false
2025-05-01T10:59:01.100000Z,cap-app-0008,cap-corr-0008,application_state,50,1,false
2025-05-01T10:59:00.500000Z,cap-app-0008,cap-corr-0008-s,help_search,83,358,false
2025-05-01T11:16:01.100000Z,cap-app-0009,cap-corr-0009,application_state,51,1,false
2025-05-01T11:16:00.500000Z,cap-app-0009,cap-corr-0009-s,help_search,84,359,false
2025-05-01T11:33:01.100000Z,cap-app-0010,cap-corr-0010,application_state,52,1,false
2025-05-01T11:33:00.500000Z,cap-app-0010,cap-corr-0010-s,help_search,85,360,false
2025-05-01T11:50:01.100000Z,cap-app-0011,cap-corr-0011,application_state,53,1,false
2025-05-01T11:50:00.500000Z,cap-app-0011,cap-corr-0011-s,help_search,86,361,false
2025-05-01T12:07:01.100000Z,cap-app-0012,cap-corr-0012,application_state,54,1,false
2025-05-01T12:07:00.500000Z,cap-app-0012,cap-corr-0012-s,help_search,87,362,false
2025-05-01T12:24:01.100000Z,cap-app-0013,cap-corr-0013,application_state,55,1,false
2025-05-01T12:24:00.500000Z,cap-app-0013,cap-corr-0013-s,help_search,88,363,false
2025-05-01T12:41:01.100000Z,cap-app-0014,cap-corr-0014,application_state,56,1,false
2025-05-01T12:41:00.500000Z,cap-app-0014,cap-corr-0014-s,help_search,89,364,false
2025-05-01T12:58:01.100000Z,cap-app-0015,cap-corr-0015,application_state,42,1,false
2025-05-01T12:58:00.500000Z,cap-app-0015,cap-corr-0015-s,help_search,90,365,false
2025-05-01T13:15:01.100000Z,cap-app-0016,cap-corr-0016,application_state,43,1,false
2025-05-01T13:15:00.500000Z,cap-app-0016,cap-corr-0016-s,help_search,91,366,false
2025-05-01T13:32:01.100000Z,cap-app-0017,cap-corr-0017,application_state,44,1,false
2025-05-01T13:32:00.500000Z,cap-app-0017,cap-corr-0017-s,help_search,92,367,false
2025-05-01T13:49:01.100000Z,cap-app-0018,cap-corr-0018,application_state,45,1,false
2025-05-01T13:49:00.500000Z,cap-app-0018,cap-corr-0018-s,help_search,93,368,false
2025-05-01T14:06:01.100000Z,cap-app-0019,cap-corr-0019,application_state,46,1,false
2025-05-01T14:06:00.500000Z,cap-app-0019,cap-corr-0019-s,help_search,94,369,false
2025-05-01T14:23:01.100000Z,cap-app-0020,cap-corr-0020,application_state,47,1,false
2025-05-01T14:23:00.500000Z,cap-app-0020,cap-corr-0020-s,help_search,95,370,false
2025-05-02T09:00:01.100000Z,cap-app-0021,cap-corr-0021,application_state,48,1,false
2025-05-02T09:00:00.500000Z,cap-app-0021,cap-corr-0021-s,help_search,96,371,false
2025-05-02T09:17:01.100000Z,cap-app-0022,cap-corr-0022,application_state,49,1,false
2025-05-02T09:17:00.500000Z,cap-app-0022,cap-corr-0022-s,help_search,97,372,false
2025-05-02T09:34:01.100000Z,cap-app-0023,cap-corr-0023,application_state,50,1,false
2025-05-02T09:34:00.500000Z,cap-app-0023,cap-corr-0023-s,help_search,98,373,false
2025-05-02T09:51:01.100000Z,cap-app-0024,cap-corr-0024,application_state,51,1,false
2025-05-02T09:51:00.500000Z,cap-app-0024,cap-corr-0024-s,help_search,99,374,false
2025-05-02T10:08:01.100000Z,cap-app-0025,cap-corr-0025,application_state,52,1,false
2025-05-02T10:08:00.500000Z,cap-app-0025,cap-corr-0025-s,help_search,100,375,false
2025-05-02T10:25:01.100000Z,cap-app-0026,cap-corr-0026,application_state,53,1,false
2025-05-02T10:25:00.500000Z,cap-app-0026,cap-corr-0026-s,help_search,101,376,false
2025-05-02T10:42:01.100000Z,cap-app-0027,cap-corr-0027,application_state,54,1,false
2025-05-02T10:42:00.500000Z,cap-app-0027,cap-corr-0027-s,help_search,102,377,false
2025-05-02T10:59:01.100000Z,cap-app-0028,cap-corr-0028,application_state,55,1,false
2025-05-02T10:59:00.500000Z,cap-app-0028,cap-corr-0028-s,help_search,103,378,false
2025-05-02T11:16:01.100000Z,cap-app-0029,cap-corr-0029,application_state,56,1,false
2025-05-02T11:16:00.500000Z,cap-app-0029,cap-corr-0029-s,help_search,104,379,false
2025-05-02T11:33:01.100000Z,cap-app-0030,cap-corr-0030,application_state,42,1,false
2025-05-02T11:33:00.500000Z,cap-app-0030,cap-corr-0030-s,help_search,105,380,false
2025-05-02T11:50:01.100000Z,cap-app-0031,cap-corr-0031,application_state,43,1,false
2025-05-02T11:50:00.500000Z,cap-app-0031,cap-corr-0031-s,help_search,106,381,false
2025-05-02T12:07:01.100000Z,cap-app-0032,cap-corr-0032,application_state,44,1,false
2025-05-02T12:07:00.500000Z,cap-app-0032,cap-corr-0032-s,help_search,107,382,false
2025-05-02T12:24:01.100000Z,cap-app-0033,cap-corr-0033,application_state,45,1,false
2025-05-02T12:24:00.500000Z,cap-app-0033,cap-corr-0033-s,help_search,108,383,false
2025-05-02T12:41:01.100000Z,cap-app-0034,cap-corr-0034,application_state,46,1,false
2025-05-02T12:41:00.500000Z,cap-app-0034,cap-corr-0034-s,help_search,109,384,false
2025-05-02T12:58:01.100000Z,cap-app-0035,cap-corr-0035,application_state,47,1,false
2025-05-02T12:58:00.500000Z,cap-app-0035,cap-corr-0035-s,help_search,75,385,false
2025-05-02T13:15:01.100000Z,cap-app-0036,cap-corr-0036,application_state,48,1,false
2025-05-02T13:15:00.500000Z,cap-app-0036,cap-corr-0036-s,help_search,76,386,false
2025-05-02T13:32:01.100000Z,cap-app-0037,cap-corr-0037,application_state,49,1,false
2025-05-02T13:32:00.500000Z,cap-app-0037,cap-corr-0037-s,help_search,77,387,false
2025-05-02T13:49:01.100000Z,cap-app-0038,cap-corr-0038,application_state,50,1,false
2025-05-02T13:49:00.500000Z,cap-app-0038,cap-corr-0038-s,help_search,78,388,false
2025-05-02T14:06:01.100000Z,cap-app-0039,cap-corr-0039,application_state,51,1,false
2025-05-02T14:06:00.500000Z,cap-app-0039,cap-corr-0039-s,help_search,79,389,false
2025-05-02T14:23:01.100000Z,cap-app-0040,cap-corr-0040,application_state,52,1,false
2025-05-02T14:23:00.500000Z,cap-app-0040,cap-corr-0040-s,help_search,80,390,false
2025-05-03T09:00:01.100000Z,cap-app-0041,cap-corr-0041,application_state,53,1,false
2025-05-03T09:00:00.500000Z,cap-app-0041,cap-corr-0041-s,help_search,81,391,false
2025-05-03T09:17:01.100000Z,cap-app-0042,cap-corr-0042,application_state,54,1,false
2025-05-03T09:17:00.500000Z,cap-app-0042,cap-corr-0042-s,help_search,82,392,false
2025-05-03T09:34:01.100000Z,cap-app-0043,cap-corr-0043,application_state,55,1,false
2025-05-03T09:34:00.500000Z,cap-app-0043,cap-corr-0043-s,help_search,83,393,false
2025-05-03T09:51:01.100000Z,cap-app-0044,cap-corr-0044,application_state,56,1,false
2025-05-03T09:51:00.500000Z,cap-app-0044,cap-corr-0044-s,help_search,84,394,false
2025-05-03T10:08:01.100000Z,cap-app-0045,cap-corr-0045,application_state,42,1,false
2025-05-03T10:08:00.500000Z,cap-app-0045,cap-corr-0045-s,help_search,85,395,false
2025-05-03T10:25:01.100000Z,cap-app-0046,cap-corr-0046,application_state,43,1,false
2025-05-03T10:25:00.500000Z,cap-app-0046,cap-corr-0046-s,help_search,86,396,false
2025-05-03T10:42:01.100000Z,cap-app-0047,cap-corr-0047,application_state,44,1,false
2025-05-03T10:42:00.500000Z,cap-app-0047,cap-corr-0047-s,help_search,87,397,false
2025-05-03T10:59:01.100000Z,cap-app-0048,cap-corr-0048,application_state,45,1,false
