timestamp,session_id,application_id,campaign_source,entry_page,search_used
2025-05-01T09:00:00Z,cap-session-0001,cap-app-0001,partner,/offers/checking,false
2025-05-01T09:17:00Z,cap-session-0002,cap-app-0002,partner,/offers/checking,false
2025-05-01T09:34:00Z,cap-session-0003,cap-app-0003,partner,/offers/checking,false
2025-05-01T09:51:00Z,cap-session-0004,cap-app-0004,direct,/open-account,false
2025-05-01T10:08:00Z,cap-session-0005,cap-app-0005,email,/open-account,false
2025-05-01T10:25:00Z,cap-session-0006,cap-app-0006,direct,/open-account,false
2025-05-01T10:42:00Z,cap-session-0007,cap-app-0007,direct,/open-account,false
2025-05-01T10:59:00Z,cap-session-0008,cap-app-0008,direct,/open-account,false
2025-05-01T11:16:00Z,cap-session-0009,cap-app-0009,email,/open-account,false
2025-05-01T11:33:00Z,cap-session-0010,cap-app-0010,direct,/open-account,false
2025-05-01T11:50:00Z,cap-session-0011,cap-app-0011,direct,/open-account,false
2025-05-01T12:07:00Z,cap-session-0012,cap-app-0012,direct,/open-account,false
2025-05-01T12:24:00Z,cap-session-0013,cap-app-0013,email,/open-account,true
2025-05-01T12:41:00Z,cap-session-0014,cap-app-0014,direct,/open-account,false
2025-05-01T12:58:00Z,cap-session-0015,cap-app-0015,direct,/open-account,false
2025-05-01T13:15:00Z,cap-session-0016,cap-app-0016,direct,/open-account,false
2025-05-01T13:32:00Z,cap-session-0017,cap-app-0017,email,/open-account,false
2025-05-01T13:49:00Z,cap-session-0018,cap-app-0018,direct,/open-account,false
2025-05-01T14:06:00Z,cap-session-0019,cap-app-0019,direct,/open-account,false
2025-05-01T14:23:00Z,cap-session-0020,cap-app-0020,direct,/open-account,false
2025-05-02T09:00:00Z,cap-session-0021,cap-app-0021,partner,/offers/checking,false
2025-05-02T09:17:00Z,cap-session-0022,cap-app-0022,partner,/offers/checking,false
2025-05-02T09:34:00Z,cap-session-0023,cap-app-0023,partner,/offers/checking,false
2025-05-02T09:51:00Z,cap-session-0024,cap-app-0024,direct,/open-account,false
2025-05-02T10:08:00Z,cap-session-0025,cap-app-0025,email,/open-account,false
2025-05-02T10:25:00Z,cap-session-0026,cap-app-0026,direct,/open-account,true
2025-05-02T10:42:00Z,cap-session-0027,cap-app-0027,direct,/open-account,false
2025-05-02T10:59:00Z,cap-session-0028,cap-app-0028,direct,/open-account,false
2025-05-02T11:16:00Z,cap-session-0029,cap-app-0029,email,/open-account,false
2025-05-02T11:33:00Z,cap-session-0030,cap-app-0030,direct,/open-account,false
2025-05-02T11:50:00Z,cap-session-0031,cap-app-0031,direct,/open-account,false
2025-05-02T12:07:00Z,cap-session-0032,cap-app-0032,direct,/open-account,false
2025-05-02T12:24:00Z,cap-session-0033,cap-app-0033,email,/open-account,false
2025-05-02T12:41:00Z,cap-session-0034,cap-app-0034,direct,/open-account,false
2025-05-02T12:58:00Z,cap-session-0035,cap-app-0035,direct,/open-account,false
2025-05-02T13:15:00Z,cap-session-0036,cap-app-0036,direct,/open-account,false
2025-05-02T13:32:00Z,cap-session-0037,cap-app-0037,email,/open-account,false
2025-05-02T13:49:00Z,cap-session-0038,cap-app-0038,direct,/open-account,false
2025-05-02T14:06:00Z,cap-session-0039,cap-app-0039,direct,/open-account,true
2025-05-02T14:23:00Z,cap-session-0040,cap-app-0040,direct,/open-account,false
2025-05-03T09:00:00Z,cap-session-0041,cap-app-0041,partner,/offers/checking,false
2025-05-03T09:17:00Z,cap-session-0042,cap-app-0042,partner,/offers/checking,false
2025-05-03T09:34:00Z,cap-session-0043,cap-app-0043,partner,/offers/checking,false
2025-05-03T09:51:00Z,cap-session-0044,cap-app-0044,direct,/open-account,false
2025-05-03T10:08:00Z,cap-session-0045,cap-app-0045,email,/open-account,false
2025-05-03T10:25:00Z,cap-session-0046,cap-app-0046,direct,/open-account,false
2025-05-03T10:42:00Z,cap-session-0047,cap-app-0047,direct,/open-account,false
2025-05-03T10:59:00Z,cap-session-0048,cap-app-0048,direct,/open-account,false
2025-05-03T11:16:00Z,cap-session-0049,cap-app-0049,email,/open-account,false
2025-05-03T11:33:00Z,cap-session-0050,cap-app-0050,direct,/open-account,false
2025-05-03T11:50:00Z,cap-session-0051,cap-app-0051,direct,/open-account,false
2025-05-03T12:07:00Z,cap-session-0052,cap-app-0052,direct,/open-account,true
2025-05-03T12:24:00Z,cap-session-0053,cap-app-0053,email,/open-account,false
2025-05-03T12:41:00Z,cap-session-0054,cap-app-0054,direct,/open-account,false
2025-05-03T12:58:00Z,cap-session-0055,cap-app-0055,direct,/open-account,false
