experiment_id,application_id,variant,assigned_at,channel,device_type,completed,verification_completed,duration_ms,api_error,verification_retries,support_request
verification-guidance-01,exp-app-0001,A,2025-03-10T00:00:00Z,mobile,phone,True,True,614,False,0,False
verification-guidance-01,exp-app-0002,A,2025-03-10T01:00:00Z,mobile,phone,False,True,848,False,0,False
verification-guidance-01,exp-app-0003,A,2025-03-10T02:00:00Z,mobile,phone,False,True,624,False,0,False
verification-guidance-01,exp-app-0004,A,2025-03-10T03:00:00Z,mobile,phone,True,True,848,False,0,False
verification-guidance-01,exp-app-0005,A,2025-03-10T04:00:00Z,mobile,phone,True,True,587,False,0,False
verification-guidance-01,exp-app-0006,B,2025-03-10T05:00:00Z,mobile,phone,True,True,723,False,0,False
verification-guidance-01,exp-app-0007,B,2025-03-10T06:00:00Z,mobile,phone,True,True,689,False,0,False
verification-guidance-01,exp-app-0008,B,2025-03-10T07:00:00Z,mobile,phone,True,False,748,False,0,False
verification-guidance-01,exp-app-0009,B,2025-03-10T08:00:00Z,mobile,phone,True,True,747,False,0,False
verification-guidance-01,exp-app-0010,A,2025-03-10T09:00:00Z,mobile,phone,False,True,520,False,0,False
verification-guidance-01,exp-app-0011,B,2025-03-10T10:00:00Z,mobile,phone,False,True,762,False,0,False
verification-guidance-01,exp-app-0012,A,2025-03-10T11:00:00Z,mobile,phone,True,True,911,False,0,False
verification-guidance-01,exp-app-0013,A,2025-03-10T12:00:00Z,mobile,phone,True,True,763,False,0,False
verification-guidance-01,exp-app-0014,B,2025-03-10T13:00:00Z,mobile,phone,True,True,831,False,0,False
verification-guidance-01,exp-app-0015,A,2025-03-10T14:00:00Z,mobile,phone,True,False,562,False,0,False
verification-guidance-01,exp-app-0016,A,2025-03-10T15:00:00Z,mobile,phone,True,True,599,False,0,False
verification-guidance-01,exp-app-0017,B,2025-03-10T16:00:00Z,mobile,phone,True,True,715,True,0,False
verification-guidance-01,exp-app-0018,B,2025-03-10T17:00:00Z,mobile,phone,True,True,711,False,0,False
verification-guidance-01,exp-app-0019,A,2025-03-10T18:00:00Z,mobile,phone,True,True,649,False,0,False
verification-guidance-01,exp-app-0020,A,2025-03-10T19:00:00Z,mobile,phone,True,True,697,False,1,False
verification-guidance-01,exp-app-0021,B,2025-03-10T20:00:00Z,mobile,phone,True,True,801,False,0,False
verification-guidance-01,exp-app-0022,A,2025-03-10T21:00:00Z,mobile,phone,True,True,916,False,1,False
verification-guidance-01,exp-app-0023,B,2025-03-10T22:00:00Z,mobile,phone,True,True,871,False,0,False
verification-guidance-01,exp-app-0024,B,2025-03-10T23:00:00Z,mobile,phone,True,True,688,False,0,False
verification-guidance-01,exp-app-0025,A,2025-03-10T00:00:00Z,mobile,phone,True,True,717,False,0,False
verification-guidance-01,exp-app-0026,B,2025-03-10T01:00:00Z,mobile,phone,True,True,910,False,1,False
