event_timestamp,session_id,application_id,event_name,channel,device_type,campaign_source,request_id,correlation_id,app_version
2025-05-01T09:00:00Z,cap-session-0001,cap-app-0001,application_started,mobile,ios,partner,,,4.7.2
2025-05-01T09:00:01.200000Z,cap-session-0001,cap-app-0001,identity_verification_started,mobile,ios,partner,cap-req-0001,cap-corr-0001,4.7.2
2025-05-01T09:00:02.115000Z,cap-session-0001,cap-app-0001,identity_verification_completed,mobile,ios,partner,cap-req-0001,cap-corr-0001,4.7.2
2025-05-01T09:00:04.715000Z,cap-session-0001,cap-app-0001,application_submitted,mobile,ios,partner,,,4.7.2
2025-05-01T09:00:06.915000Z,cap-session-0001,cap-app-0001,application_completed,mobile,ios,partner,,,4.7.2
2025-05-01T09:17:00Z,cap-session-0002,cap-app-0002,application_started,mobile,android,partner,,,4.7.2
2025-05-01T09:17:01.200000Z,cap-session-0002,cap-app-0002,identity_verification_started,mobile,android,partner,cap-req-0002,cap-corr-0002,4.7.2
2025-05-01T09:17:02.150000Z,cap-session-0002,cap-app-0002,identity_verification_completed,mobile,android,partner,cap-req-0002,cap-corr-0002,4.7.2
2025-05-01T09:17:04.750000Z,cap-session-0002,cap-app-0002,application_submitted,mobile,android,partner,,,4.7.2
2025-05-01T09:17:06.950000Z,cap-session-0002,cap-app-0002,application_completed,mobile,android,partner,,,4.7.2
2025-05-01T09:34:00Z,cap-session-0003,cap-app-0003,application_started,mobile,ios,partner,,,4.7.2
2025-05-01T09:34:01.200000Z,cap-session-0003,cap-app-0003,identity_verification_started,mobile,ios,partner,cap-req-0003,cap-corr-0003,4.7.2
2025-05-01T09:34:02.185000Z,cap-session-0003,cap-app-0003,identity_verification_completed,mobile,ios,partner,cap-req-0003,cap-corr-0003,4.7.2
2025-05-01T09:34:04.785000Z,cap-session-0003,cap-app-0003,application_submitted,mobile,ios,partner,,,4.7.2
2025-05-01T09:34:06.985000Z,cap-session-0003,cap-app-0003,application_completed,mobile,ios,partner,,,4.7.2
2025-05-01T09:51:00Z,cap-session-0004,cap-app-0004,application_started,mobile,android,direct,,,4.7.2
