timestamp,application_id,correlation_id,layer,error_code,recovered
2025-05-01T13:32:00.350000Z,cap-app-0017,cap-corr-0017-p,api,PREFILL_RETRY,true
2025-05-01T14:06:02.155000Z,cap-app-0019,cap-corr-0019,journey,IDENTITY_NOT_COMPLETED,false
2025-05-02T12:41:00.350000Z,cap-app-0034,cap-corr-0034-p,api,PREFILL_RETRY,true
2025-05-02T13:49:02.085000Z,cap-app-0038,cap-corr-0038,journey,IDENTITY_NOT_COMPLETED,false
2025-05-03T11:50:00.350000Z,cap-app-0051,cap-corr-0051-p,api,PREFILL_RETRY,true
2025-05-03T13:32:02.015000Z,cap-app-0057,cap-corr-0057,journey,IDENTITY_NOT_COMPLETED,false
2025-05-04T10:59:00.350000Z,cap-app-0068,cap-corr-0068-p,api,PREFILL_RETRY,true
2025-05-04T13:15:02.190000Z,cap-app-0076,cap-corr-0076,journey,IDENTITY_NOT_COMPLETED,false
2025-05-05T10:08:00.350000Z,cap-app-0085,cap-corr-0085-p,api,PREFILL_RETRY,true
2025-05-05T12:58:02.120000Z,cap-app-0095,cap-corr-0095,journey,IDENTITY_NOT_COMPLETED,false
2025-05-06T09:17:00.350000Z,cap-app-0102,cap-corr-0102-p,api,PREFILL_RETRY,true
2025-05-06T12:41:02.050000Z,cap-app-0114,cap-corr-0114,journey,IDENTITY_NOT_COMPLETED,false
2025-05-06T14:06:00.350000Z,cap-app-0119,cap-corr-0119-p,api,PREFILL_RETRY,true
2025-05-07T12:24:01.980000Z,cap-app-0133,cap-corr-0133,journey,IDENTITY_NOT_COMPLETED,false
2025-05-07T13:15:00.350000Z,cap-app-0136,cap-corr-0136-p,api,PREFILL_RETRY,true
2025-05-08T12:07:02.155000Z,cap-app-0152,cap-corr-0152,journey,IDENTITY_NOT_COMPLETED,false
2025-05-08T12:24:00.350000Z,cap-app-0153,cap-corr-0153-p,api,PREFILL_RETRY,true
2025-05-09T11:33:00.350000Z,cap-app-0170,cap-corr-0170-p,api,PREFILL_RETRY,true
2025-05-09T11:50:02.085000Z,cap-app-0171,cap-corr-0171,journey,IDENTITY_NOT_COMPLETED,false
2025-05-10T10:42:00.350000Z,cap-app-0187,cap-corr-0187-p,api,PREFILL_RETRY,true
2025-05-10T11:33:02.015000Z,cap-app-0190,cap-corr-0190,journey,IDENTITY_NOT_COMPLETED,false
2025-05-11T09:51:00.350000Z,cap-app-0204,cap-corr-0204-p,api,PREFILL_RETRY,true
2025-05-11T11:16:02.190000Z,cap-app-0209,cap-corr-0209,journey,IDENTITY_NOT_COMPLETED,false
2025-05-12T09:00:00.350000Z,cap-app-0221,cap-corr-0221-p,api,PREFILL_RETRY,true
